"gene_name","CLIP_log2FC_5v0","CLIP_pvalue_5v0","Significant_5v0","Direction_5v0","CLIP_log2FC_30v5","CLIP_pvalue_30v5","Significant_30v5","Direction_30v5","Detected_in_5v0_CLIP_analysis","Detected_in_30v5_CLIP_analysis"
"2010300C02Rik",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"2610507B11Rik",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"3-Sep",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"4932438A13Rik",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"5-Sep",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Aatk",0.8806494751656373,0.1451719278926657,FALSE,"Not significant",-2.214609346167967,0.1938151928367723,FALSE,"Not significant",TRUE,TRUE
"Abcc5",1.1469861335143785,0.23729756739760172,FALSE,"Not significant",-1.1236641345165586,0.5651358344310411,FALSE,"Not significant",TRUE,TRUE
"Abhd17a",-0.36122451416367696,0.27173629618995243,FALSE,"Not significant",-1.743271269514218,0.3350952876821808,FALSE,"Not significant",TRUE,TRUE
"Abhd8",-0.03204074517695066,0.9084767379240184,FALSE,"Not significant",1.546554450080042,0.015373742096688875,TRUE,"Increased",TRUE,TRUE
"Aco2",-0.26725417119131123,0.2647106590007992,FALSE,"Not significant",0.8286380141708811,0.09249538616730538,FALSE,"Not significant",TRUE,TRUE
"Acta1",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Actb",-0.1917783621498801,0.5323983273751037,FALSE,"Not significant",1.8231529663175516,0.013770559380300468,TRUE,"Increased",TRUE,TRUE
"Actg1",-0.411887521509132,0.028129102455719358,TRUE,"Decreased",-0.5634866708162489,0.8229816126061926,FALSE,"Not significant",TRUE,TRUE
"Adat1",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Adcy1",-0.3774936284672403,0.2367933418649799,FALSE,"Not significant",1.1935984236812178,0.015088579710880574,TRUE,"Increased",TRUE,TRUE
"Adcy5",-0.5960324231467098,0.2546582642331978,FALSE,"Not significant",1.125639975604519,0.19011662334457438,FALSE,"Not significant",TRUE,TRUE
"Adgrb2",NA,NA,FALSE,"Not detected",-1.0557697545943654,0.6970814402693215,FALSE,"Not significant",FALSE,TRUE
"Adgrl1",-0.035788351272278085,0.878794841390536,FALSE,"Not significant",0.802951803639127,0.08263736114869923,FALSE,"Not significant",TRUE,TRUE
"Adgrl2",-0.07855758382674516,0.7997620646480057,FALSE,"Not significant",0.9957212991199054,0.03663837938245477,TRUE,"Increased",TRUE,TRUE
"Adrbk1",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Agap2",-0.3661264318073236,0.41532040039480955,FALSE,"Not significant",1.1145647576718778,0.07310990159085515,FALSE,"Not significant",TRUE,TRUE
"Akap11",-0.08772505129450536,0.7081942989551984,FALSE,"Not significant",0.18570102839287106,0.4924992399472178,FALSE,"Not significant",TRUE,TRUE
"Akap6",-0.2758897045540276,0.1652172280155037,FALSE,"Not significant",0.6264910385717626,0.056147963655638275,FALSE,"Not significant",TRUE,TRUE
"Akt3",-0.35158298222359763,0.2285898376509117,FALSE,"Not significant",0.9604099213928663,0.09358339691226299,FALSE,"Not significant",TRUE,TRUE
"Ank2",0.2280739176650568,0.44721375619712445,FALSE,"Not significant",0.555283517724676,0.2069543029188339,FALSE,"Not significant",TRUE,TRUE
